,id,cluster,index_right,sqkm,CON cwd Rain-fed Low_mean,SGC yld Rain-fed High_mean,CON evt Irrigation High_mean,CAS yld Irrigation High_mean,MZE evt Rain-fed Low_mean,SGC yld Irrigation High_mean,CAS cwd Irrigation High_mean,MZE evt Rain-fed High_mean,CON yld Irrigation Low_mean,SGC cwd Rain-fed High_mean,MZE yld Rain-fed High_mean,MZE yld Irrigation High_mean,MZE yld Irrigation Low_mean,CAS evt Irrigation Low_mean,COC yld Irrigation Low_mean,COC evt Irrigation High_mean,CON cwd Irrigation High_mean,CON yld Rain-fed High_mean,SGC yld Irrigation Low_mean,CAS yld Rain-fed High_mean,SGC cwd Irrigation High_mean,MZE cwd Irrigation Low_mean,SGC cwd Irrigation Low_mean,CAS evt Rain-fed High_mean,SGC evt Irrigation Low_mean,CON yld Irrigation High_mean,COC cwd Rain-fed High_mean,MZE yld Rain-fed Low_mean,SGC yld Rain-fed Low_mean,CAS yld Irrigation Low_mean,CAS cwd Rain-fed High_mean,COC cwd Irrigation High_mean,CAS cwd Rain-fed Low_mean,COC evt Rain-fed Low_mean,CAS cwd Irrigation Low_mean,SGC evt Irrigation High_mean,CON cwd Irrigation Low_mean,COC yld Irrigation High_mean,CON cwd Rain-fed High_mean,MZE cwd Irrigation High_mean,CON yld Rain-fed Low_mean,COC cwd Rain-fed Low_mean,SGC evt Rain-fed High_mean,CAS evt Irrigation High_mean,CON evt Irrigation Low_mean,COC yld Rain-fed Low_mean,MZE evt Irrigation High_mean,COC evt Rain-fed High_mean,SGC evt Rain-fed Low_mean,COC evt Irrigation Low_mean,SGC cwd Rain-fed Low_mean,MZE cwd Rain-fed High_mean,MZE evt Irrigation Low_mean,COC cwd Irrigation Low_mean,COC yld Rain-fed High_mean,MZE cwd Rain-fed Low_mean,CAS yld Rain-fed Low_mean,CAS evt Rain-fed Low_mean,CON evt Rain-fed High_mean,CON evt Rain-fed Low_mean,precipitation prc_mean,LCType2,LCType6,LCType10,LCType7,LCType3,geometry
0,0,CUY,1,99.48144815954105,0.0,12020.0,0.0,7988.0,535.0,12020.0,1.0,602.0,0.0,1.0,3668.0,3326.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,7988.0,1.0,1.0,0.0,542.0,0.0,0.0,0.0,1278.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1064.0,0.0,0.0,0.0,1.0,0.0,0.0,1012.0,534.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,1.0,546.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2245.0,1.0,,,,,"POLYGON ((-61.25191701809092 5.901766967809411, -61.25191701794149 5.811766968072734, -61.34191701790877 5.811766968217097, -61.34191701805858 5.901766967953587, -61.25191701809092 5.901766967809411))"
1,1,CUY,1,99.46552367768994,0.0,12274.666666666666,0.0,9610.0,469.6666666666667,12274.666666666666,1.0,465.0,0.0,1.0,3921.6666666666665,3807.6666666666665,1268.0,226.66666666666666,0.0,308.3333333333333,0.0,0.0,1260.0,9610.0,1.0,1.0,0.3333333333333333,665.3333333333334,325.6666666666667,0.0,0.3333333333333333,1237.6666666666667,1259.3333333333333,722.3333333333334,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1088.0,0.0,770.0,0.0,1.0,0.0,0.0,1034.3333333333333,686.6666666666666,0.0,0.0,427.0,305.6666666666667,313.3333333333333,0.0,0.3333333333333333,1.0,494.0,0.0,769.6666666666666,1.0,722.3333333333334,222.0,0.0,0.0,2285.3333333333335,3.0,,,,,"POLYGON ((-61.25191701824037 5.991766967546722, -61.25191701809092 5.901766967809411, -61.34191701805858 5.901766967953587, -61.34191701820839 5.991766967690715, -61.25191701824037 5.991766967546722))"
2,2,CUY,1,99.44935739719715,0.0,11243.666666666666,290.3333333333333,10315.333333333334,434.3333333333333,11243.666666666666,1.0,416.3333333333333,0.0,13.333333333333334,4320.666666666667,4320.666666666667,1367.3333333333333,480.6666666666667,239.33333333333334,662.0,0.3333333333333333,1529.3333333333333,2525.6666666666665,10315.333333333334,1.0,1.0,0.6666666666666666,764.6666666666666,693.3333333333334,1531.0,1.6666666666666667,1333.6666666666667,2520.6666666666665,1500.3333333333333,1.0,0.6666666666666666,0.6666666666666666,321.3333333333333,0.6666666666666666,1150.3333333333333,0.0,1628.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1087.3333333333333,796.0,0.0,237.66666666666666,407.3333333333333,652.0,673.0,301.0,0.6666666666666666,1.0,457.6666666666667,0.3333333333333333,1626.3333333333333,1.0,1498.3333333333333,476.0,294.0,0.0,2312.6666666666665,3.0,,,,,"POLYGON ((-61.25191701838983 6.081766967284679, -61.25191701824037 5.991766967546724, -61.34191701820839 5.991766967690717, -61.34191701835819 6.081766967428489, -61.25191701838983 6.081766967284679))"
3,3,CUY,1,99.47397666780122,0.0,12547.333333333334,0.0,10589.333333333334,438.0,12547.333333333334,1.0,411.3333333333333,0.0,4.0,4628.666666666667,4629.0,1375.3333333333333,470.6666666666667,418.0,939.0,0.0,0.0,2571.6666666666665,10589.333333333334,1.0,1.0,0.6666666666666666,755.3333333333334,677.0,0.0,1.0,1374.6666666666667,2573.0,1582.6666666666667,1.0,1.0,0.6666666666666666,591.0,0.6666666666666666,1130.0,0.0,2359.0,0.0,1.0,0.0,0.6666666666666666,1080.6666666666667,782.6666666666666,0.0,416.3333333333333,402.3333333333333,938.0,658.0,574.3333333333334,0.6666666666666666,1.0,421.3333333333333,0.6666666666666666,2358.3333333333335,1.0,1585.6666666666667,466.6666666666667,0.0,0.0,2170.6666666666665,3.0,,,,,"POLYGON ((-61.16191701797359 5.811766967928738, -61.16191701782451 5.72176696819252, -61.25191701779202 5.721766968336692, -61.25191701794149 5.811766968072734, -61.16191701797359 5.811766967928738))"
4,4,CUY,1,99.4583051643769,0.0,12383.2,0.0,9549.2,478.0,12383.2,1.0,489.2,0.0,1.6,4175.8,4045.4,1328.8,284.4,258.0,566.2,0.0,0.0,1554.0,9549.2,1.0,1.0,0.4,671.4,408.8,0.0,0.6,1317.6,1554.0,931.2,1.0,0.6,0.4,355.6,0.4,1108.2,0.0,1443.6,0.0,1.0,0.0,0.4,1057.2,686.0,0.0,256.8,440.2,564.2,395.8,346.6,0.4,1.0,472.4,0.4,1443.2,1.0,932.6,280.6,0.0,0.0,2217.6,5.0,,,,,"POLYGON ((-61.16191701812269 5.901766967665603, -61.16191701797359 5.811766967928738, -61.25191701794149 5.811766968072734, -61.25191701809092 5.901766967809411, -61.16191701812269 5.901766967665603))"
5,5,CUY,1,99.44239199637333,0.0,12463.333333333334,0.0,9635.666666666666,461.3333333333333,12463.333333333334,1.0,474.6666666666667,0.0,1.0,4091.8333333333335,3983.1666666666665,1350.5,351.5,205.5,477.1666666666667,0.0,0.0,1935.8333333333333,9635.666666666666,1.0,1.0,0.5,681.1666666666666,505.3333333333333,0.0,0.5,1318.8333333333333,1935.3333333333333,1120.1666666666667,1.0,0.5,0.5,293.3333333333333,0.5,1111.1666666666667,0.0,1378.6666666666667,0.0,1.0,0.0,0.3333333333333333,1057.1666666666667,701.6666666666666,0.0,204.5,432.6666666666667,472.8333333333333,486.8333333333333,286.8333333333333,0.5,1.0,478.1666666666667,0.3333333333333333,1378.3333333333333,1.0,1121.0,344.6666666666667,0.0,0.0,2267.5,6.0,,,,,"POLYGON ((-61.16191701827177 5.991766967403096, -61.16191701812269 5.901766967665603, -61.25191701809092 5.901766967809411, -61.25191701824037 5.991766967546722, -61.16191701827177 5.991766967403096))"
6,6,CUY,1,99.42623719774595,0.0,11584.166666666666,427.8333333333333,10278.5,427.5,11584.166666666666,1.0,428.0,0.0,10.166666666666666,4501.5,4501.5,1446.8333333333333,606.1666666666666,469.0,838.5,0.5,2268.1666666666665,3227.6666666666665,10278.5,1.0,1.0,0.8333333333333334,783.8333333333334,875.8333333333334,2270.8333333333335,1.3333333333333333,1411.6666666666667,3221.6666666666665,1888.8333333333333,1.0,0.8333333333333334,0.8333333333333334,617.6666666666666,0.8333333333333334,1177.3333333333333,0.0,2262.0,0.5,1.0,0.0,0.6666666666666666,1117.5,813.3333333333334,0.0,466.1666666666667,419.5,824.3333333333334,850.3333333333334,584.8333333333334,0.8333333333333334,1.0,443.5,0.6666666666666666,2259.5,1.0,1886.3333333333333,600.8333333333334,432.1666666666667,0.0,2309.0,5.0,1.0,,,,"POLYGON ((-61.16191701842087 6.08176696714124, -61.16191701827177 5.991766967403098, -61.25191701824037 5.991766967546724, -61.25191701838983 6.081766967284679, -61.16191701842087 6.08176696714124))"
7,7,CUY,1,99.32423612705456,1.0,8751.5,901.5,10487.0,443.5,8770.0,3.0,480.0,1345.5,81.5,5631.5,5631.5,2358.0,780.5,785.5,1096.5,1.0,4514.5,3283.0,10469.5,10.0,1.0,1.0,862.5,1116.0,4520.5,18.5,2302.0,3275.5,3155.0,1.0,1.5,1.0,928.0,1.0,1296.0,1.0,2533.0,1.0,1.0,1344.0,1.0,1159.5,896.5,785.5,784.0,471.0,1054.0,1130.0,928.0,1.0,1.0,452.5,1.0,2521.5,1.0,3170.0,790.5,905.5,790.5,1880.5,2.0,,,,,"POLYGON ((-61.16191701931548 6.62176696558375, -61.16191701916636 6.531766965841688, -61.25191701913712 6.531766965984173, -61.25191701928658 6.621766965726036, -61.16191701931548 6.62176696558375))"
8,8,CUY,1,99.46673864160815,0.0,12677.666666666666,0.0,10685.333333333334,390.3333333333333,12677.666666666666,1.0,415.3333333333333,0.0,6.666666666666667,4889.333333333333,4890.0,1516.3333333333333,699.6666666666666,603.6666666666666,947.0,0.0,0.0,3832.0,10685.333333333334,1.0,1.0,1.0,765.0,1006.3333333333334,0.0,1.0,1480.0,3835.0,2395.3333333333335,1.0,1.0,1.0,868.0,1.0,1140.0,0.0,2736.0,0.0,1.0,0.0,1.0,1090.6666666666667,789.6666666666666,0.0,601.0,406.6666666666667,949.3333333333334,980.0,854.3333333333334,1.0,1.0,398.3333333333333,1.0,2736.0,1.0,2400.3333333333335,695.6666666666666,0.0,0.0,2135.0,2.0,1.0,,,,"POLYGON ((-61.07191701785641 5.721766968048714, -61.07191701770769 5.631766968312941, -61.16191701767544 5.631766968456929, -61.16191701782451 5.721766968192517, -61.07191701785641 5.721766968048714))"
9,9,CUY,1,99.4513195744379,0.0,12616.5,0.0,10598.0,395.75,12616.5,1.0,420.75,0.0,4.25,4864.75,4865.25,1555.5,711.75,652.0,961.75,0.0,0.0,3877.0,10598.0,1.0,1.0,1.0,774.75,1023.25,0.0,1.0,1517.75,3876.25,2400.0,1.0,1.0,1.0,883.0,1.0,1158.0,0.0,2791.25,0.0,1.0,0.0,1.0,1107.75,801.75,0.0,649.0,412.25,961.75,994.5,868.25,1.0,1.0,403.75,1.0,2790.0,1.0,2403.5,705.5,0.0,0.0,2170.25,4.0,,,,,"POLYGON ((-61.07191701800514 5.811766967785121, -61.07191701785641 5.721766968048716, -61.16191701782451 5.72176696819252, -61.16191701797359 5.811766967928738, -61.07191701800514 5.811766967785121))"
