REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGGUYXX01,2021,0.066286194
GLOBAL,PWRCCGGUYXX01,2022,0.066286194
GLOBAL,PWRCCGGUYXX01,2023,0.066286194
GLOBAL,PWRCCGGUYXX01,2024,0.066286194
GLOBAL,PWRCCGGUYXX01,2025,0.066286194
GLOBAL,PWRCCGGUYXX01,2026,0.066286194
GLOBAL,PWRCCGGUYXX01,2027,0.066286194
GLOBAL,PWRCCGGUYXX01,2028,0.066286194
GLOBAL,PWRCCGGUYXX01,2029,0.066286194
GLOBAL,PWRCCGGUYXX01,2030,0.066286194
GLOBAL,PWRCCGGUYXX01,2031,0.066286194
GLOBAL,PWRCCGGUYXX01,2032,0.066286194
GLOBAL,PWRCCGGUYXX01,2033,0.066286194
GLOBAL,PWRCCGGUYXX01,2034,0.066286194
GLOBAL,PWRCCGGUYXX01,2035,0.066286194
GLOBAL,PWRCCGGUYXX01,2036,0.066286194
GLOBAL,PWRCCGGUYXX01,2037,0.066286194
GLOBAL,PWRCCGGUYXX01,2038,0.066286194
GLOBAL,PWRCCGGUYXX01,2039,0.096286194
GLOBAL,PWRCCGGUYXX01,2040,0.0973856283
GLOBAL,PWRCCGGUYXX01,2041,0.09802213567
GLOBAL,PWRCCGGUYXX01,2042,0.09865864304
GLOBAL,PWRCCGGUYXX01,2043,0.09979113564
GLOBAL,PWRCCGGUYXX01,2044,0.10054613069
GLOBAL,PWRCCGGUYXX01,2045,0.10130112574000001
GLOBAL,PWRCCGGUYXX01,2046,0.10520490694000001
GLOBAL,PWRCCGGUYXX01,2047,0.10520490694000001
GLOBAL,PWRCCGGUYXX01,2048,0.10520490694000001
GLOBAL,PWRCCGGUYXX01,2049,0.10520490694000001
GLOBAL,PWRCCGGUYXX01,2050,0.10520490694000001
GLOBAL,PWROCGGUYXX01,2027,0.030507409
GLOBAL,PWROCGGUYXX01,2028,0.030507409
GLOBAL,PWROCGGUYXX01,2029,0.030507409
GLOBAL,PWROCGGUYXX01,2030,0.030507409
GLOBAL,PWROCGGUYXX01,2031,0.030507409
GLOBAL,PWROCGGUYXX01,2032,0.030507409
GLOBAL,PWROCGGUYXX01,2033,0.030507409
GLOBAL,PWROCGGUYXX01,2034,0.030507409
GLOBAL,PWROCGGUYXX01,2035,0.030507409
GLOBAL,PWROCGGUYXX01,2036,0.030507409
GLOBAL,PWROCGGUYXX01,2037,0.030507409
GLOBAL,PWROCGGUYXX01,2038,0.030507409
GLOBAL,PWROCGGUYXX01,2039,0.030507409
GLOBAL,PWROCGGUYXX01,2040,0.03096353024
GLOBAL,PWROCGGUYXX01,2041,0.03116590625
GLOBAL,PWROCGGUYXX01,2042,0.03136828226
GLOBAL,PWROCGGUYXX01,2043,0.03149411477
GLOBAL,PWROCGGUYXX01,2044,0.031578003109
GLOBAL,PWROCGGUYXX01,2045,0.031661891447999996
GLOBAL,PWROCGGUYXX01,2046,0.032791410548
GLOBAL,PWROCGGUYXX01,2047,0.037405269148
GLOBAL,PWROCGGUYXX01,2048,0.042019127748
GLOBAL,PWROCGGUYXX01,2049,0.047052428048
GLOBAL,PWROCGGUYXX01,2050,0.051666286648
GLOBAL,PWRSPVGUYXX01,2021,0.22263891
GLOBAL,PWRSPVGUYXX01,2022,0.22263891
GLOBAL,PWRSPVGUYXX01,2023,0.22263891
GLOBAL,PWRSPVGUYXX01,2024,0.22263891
GLOBAL,PWRSPVGUYXX01,2025,0.22263891
GLOBAL,PWRSPVGUYXX01,2026,0.22263891
GLOBAL,PWRSPVGUYXX01,2027,0.22263891
GLOBAL,PWRSPVGUYXX01,2028,0.22263891
GLOBAL,PWRSPVGUYXX01,2029,0.22263891
GLOBAL,PWRSPVGUYXX01,2030,0.22263891
GLOBAL,PWRSPVGUYXX01,2031,0.22263891
GLOBAL,PWRSPVGUYXX01,2032,0.22263891
GLOBAL,PWRSPVGUYXX01,2033,0.22263891
GLOBAL,PWRSPVGUYXX01,2034,0.22263891
GLOBAL,PWRSPVGUYXX01,2035,0.22263891
GLOBAL,PWRSPVGUYXX01,2036,0.22263891
GLOBAL,PWRSPVGUYXX01,2037,0.22263891
GLOBAL,PWRSPVGUYXX01,2038,0.22263891
GLOBAL,PWRSPVGUYXX01,2039,0.22263891
GLOBAL,PWRSPVGUYXX01,2040,0.2268912966
GLOBAL,PWRSPVGUYXX01,2041,0.2283742462
GLOBAL,PWRSPVGUYXX01,2042,0.2298571958
GLOBAL,PWRSPVGUYXX01,2043,0.2298571958
GLOBAL,PWRSPVGUYXX01,2044,0.2298571958
GLOBAL,PWRSPVGUYXX01,2045,0.2298571958
GLOBAL,PWRSPVGUYXX01,2046,0.2298571958
GLOBAL,PWRSPVGUYXX01,2047,0.2298571958
GLOBAL,PWRSPVGUYXX01,2048,0.2298571958
GLOBAL,PWRSPVGUYXX01,2049,0.2298571958
GLOBAL,PWRSPVGUYXX01,2050,0.2298571958
