REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2021,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2022,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2023,0.14243353092056002
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2024,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2025,0.1424335308602
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2026,0.1424335308602
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2027,0.14243353092056002
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2028,0.1424335303572
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2029,0.1424335303572
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2030,0.14243353092056002
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2031,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2032,0.1424335308602
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2033,0.14243353092056002
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2034,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2035,0.14243353092056002
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2036,0.14243353158452
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2037,0.1424335308602
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2038,0.1424335308602
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2039,0.19002135471936
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2040,0.19323776548375998
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2041,0.19450075681523998
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2042,0.19576374941427999
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2043,0.19875156800708718
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2044,0.200743449579264
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2045,0.20273532857326398
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2046,0.21443629656872398
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2047,0.223731737472112
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2048,0.232249277244128
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2049,0.24069967666233807
GLOBAL,PWRCCGGUYXX01,CO2GUY,2,2050,0.24844587715157598
GLOBAL,PWROCGGUYXX01,CO2GUY,2,2046,0.00035755214828759994
GLOBAL,PWROCGGUYXX01,CO2GUY,2,2047,0.002728602167256
GLOBAL,PWROCGGUYXX01,CO2GUY,2,2048,0.0062108266199892
GLOBAL,PWROCGGUYXX01,CO2GUY,2,2049,0.011211586568832
GLOBAL,PWROCGGUYXX01,CO2GUY,2,2050,0.015795616580328
