REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGGUYXX01,2021,46.400336
GLOBAL,PWRCCGGUYXX01,2039,21.0
GLOBAL,PWRCCGGUYXX01,2040,0.76960402
GLOBAL,PWRCCGGUYXX01,2041,0.44555516
GLOBAL,PWRCCGGUYXX01,2042,0.44555516
GLOBAL,PWRCCGGUYXX01,2043,0.7927448
GLOBAL,PWRCCGGUYXX01,2044,0.52849653
GLOBAL,PWRCCGGUYXX01,2045,0.52849653
GLOBAL,PWRCCGGUYXX01,2046,2.7326469
GLOBAL,PWROCGGUYXX01,2027,12.202964
GLOBAL,PWROCGGUYXX01,2040,0.1824485
GLOBAL,PWROCGGUYXX01,2041,0.080950405
GLOBAL,PWROCGGUYXX01,2042,0.080950405
GLOBAL,PWROCGGUYXX01,2043,0.050333003
GLOBAL,PWROCGGUYXX01,2044,0.033555335
GLOBAL,PWROCGGUYXX01,2045,0.033555335
GLOBAL,PWROCGGUYXX01,2046,0.45180763
GLOBAL,PWROCGGUYXX01,2047,1.8455434
GLOBAL,PWROCGGUYXX01,2048,1.8455434
GLOBAL,PWROCGGUYXX01,2049,2.0133201
GLOBAL,PWROCGGUYXX01,2050,1.8455434
GLOBAL,PWRSPVGUYXX01,2021,113.54584
GLOBAL,PWRSPVGUYXX01,2040,1.573383
GLOBAL,PWRSPVGUYXX01,2041,0.54869136
GLOBAL,PWRSPVGUYXX01,2042,0.54869136
