REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCGUYXX02,2021,0.3366
GLOBAL,S1D2,ELCGUYXX02,2021,0.3366
GLOBAL,S1D3,ELCGUYXX02,2021,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2021,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2021,0.3366
GLOBAL,S2D2,ELCGUYXX02,2021,0.3366
GLOBAL,S2D3,ELCGUYXX02,2021,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2021,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2022,0.3366
GLOBAL,S1D2,ELCGUYXX02,2022,0.3366
GLOBAL,S1D3,ELCGUYXX02,2022,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2022,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2022,0.3366
GLOBAL,S2D2,ELCGUYXX02,2022,0.3366
GLOBAL,S2D3,ELCGUYXX02,2022,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2022,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2023,0.3366
GLOBAL,S1D2,ELCGUYXX02,2023,0.3366
GLOBAL,S1D3,ELCGUYXX02,2023,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2023,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2023,0.3366
GLOBAL,S2D2,ELCGUYXX02,2023,0.3366
GLOBAL,S2D3,ELCGUYXX02,2023,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2023,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2024,0.3366
GLOBAL,S1D2,ELCGUYXX02,2024,0.3366
GLOBAL,S1D3,ELCGUYXX02,2024,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2024,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2024,0.3366
GLOBAL,S2D2,ELCGUYXX02,2024,0.3366
GLOBAL,S2D3,ELCGUYXX02,2024,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2024,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2025,0.3366
GLOBAL,S1D2,ELCGUYXX02,2025,0.3366
GLOBAL,S1D3,ELCGUYXX02,2025,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2025,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2025,0.3366
GLOBAL,S2D2,ELCGUYXX02,2025,0.3366
GLOBAL,S2D3,ELCGUYXX02,2025,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2025,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2026,0.3366
GLOBAL,S1D2,ELCGUYXX02,2026,0.3366
GLOBAL,S1D3,ELCGUYXX02,2026,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2026,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2026,0.3366
GLOBAL,S2D2,ELCGUYXX02,2026,0.3366
GLOBAL,S2D3,ELCGUYXX02,2026,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2026,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2027,0.3366
GLOBAL,S1D2,ELCGUYXX02,2027,0.3366
GLOBAL,S1D3,ELCGUYXX02,2027,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2027,0.42840000000000006
GLOBAL,S2D1,ELCGUYXX02,2027,0.3366
GLOBAL,S2D2,ELCGUYXX02,2027,0.3366
GLOBAL,S2D3,ELCGUYXX02,2027,0.39780000000000004
GLOBAL,S2D4,ELCGUYXX02,2027,0.45899999999999996
GLOBAL,S1D1,ELCGUYXX02,2028,0.3366
GLOBAL,S1D2,ELCGUYXX02,2028,0.3366
GLOBAL,S1D3,ELCGUYXX02,2028,0.39780000000000004
GLOBAL,S1D4,ELCGUYXX02,2028,0.42840000000000006
