REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGGUYXX01,2021,0.066286194
GLOBAL,PWRCCGGUYXX01,2039,0.03
GLOBAL,PWRCCGGUYXX01,2040,0.0010994343
GLOBAL,PWRCCGGUYXX01,2041,0.00063650737
GLOBAL,PWRCCGGUYXX01,2042,0.00063650737
GLOBAL,PWRCCGGUYXX01,2043,0.0011324926
GLOBAL,PWRCCGGUYXX01,2044,0.00075499505
GLOBAL,PWRCCGGUYXX01,2045,0.00075499505
GLOBAL,PWRCCGGUYXX01,2046,0.0039037812
GLOBAL,PWROCGGUYXX01,2027,0.030507409
GLOBAL,PWROCGGUYXX01,2040,0.00045612124
GLOBAL,PWROCGGUYXX01,2041,0.00020237601
GLOBAL,PWROCGGUYXX01,2042,0.00020237601
GLOBAL,PWROCGGUYXX01,2043,0.00012583251
GLOBAL,PWROCGGUYXX01,2044,8.3888339e-05
GLOBAL,PWROCGGUYXX01,2045,8.3888339e-05
GLOBAL,PWROCGGUYXX01,2046,0.0011295191
GLOBAL,PWROCGGUYXX01,2047,0.0046138586
GLOBAL,PWROCGGUYXX01,2048,0.0046138586
GLOBAL,PWROCGGUYXX01,2049,0.0050333003
GLOBAL,PWROCGGUYXX01,2050,0.0046138586
GLOBAL,PWRSPVGUYXX01,2021,0.22263891
GLOBAL,PWRSPVGUYXX01,2040,0.0042523866
GLOBAL,PWRSPVGUYXX01,2041,0.0014829496
GLOBAL,PWRSPVGUYXX01,2042,0.0014829496
GLOBAL,MINGASINT,2021,2.0904014
GLOBAL,MINGASINT,2022,2.0904014
GLOBAL,MINGASINT,2023,2.0904014
GLOBAL,MINGASINT,2024,2.0904014
GLOBAL,MINGASINT,2025,2.0904014
GLOBAL,MINGASINT,2026,2.0904014
GLOBAL,MINGASINT,2027,2.0904014
GLOBAL,MINGASINT,2028,2.0904014
GLOBAL,MINGASINT,2029,2.0904014
GLOBAL,MINGASINT,2030,2.0904014
GLOBAL,MINGASINT,2031,2.0904014
GLOBAL,MINGASINT,2032,2.0904014
GLOBAL,MINGASINT,2033,2.0904014
GLOBAL,MINGASINT,2034,2.0904014
GLOBAL,MINGASINT,2035,2.0904014
GLOBAL,MINGASINT,2036,2.0904014
GLOBAL,MINGASINT,2037,2.0904014
GLOBAL,MINGASINT,2038,2.0904014
GLOBAL,MINGASINT,2039,3.0364814
