REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINGASINT,GASINT,2021,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2022,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2023,1.4158402676000001
GLOBAL,MINGASINT,GASINT,2024,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2025,1.415840267
GLOBAL,MINGASINT,GASINT,2026,1.415840267
GLOBAL,MINGASINT,GASINT,2027,1.4158402676000001
GLOBAL,MINGASINT,GASINT,2028,1.4158402620000001
GLOBAL,MINGASINT,GASINT,2029,1.4158402620000001
GLOBAL,MINGASINT,GASINT,2030,1.4158402676000001
GLOBAL,MINGASINT,GASINT,2031,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2032,1.415840267
GLOBAL,MINGASINT,GASINT,2033,1.4158402676000001
GLOBAL,MINGASINT,GASINT,2034,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2035,1.4158402676000001
GLOBAL,MINGASINT,GASINT,2036,1.4158402742000002
GLOBAL,MINGASINT,GASINT,2037,1.415840267
GLOBAL,MINGASINT,GASINT,2038,1.415840267
GLOBAL,MINGASINT,GASINT,2039,1.8888802656
GLOBAL,MINGASINT,GASINT,2040,1.9208525396
GLOBAL,MINGASINT,GASINT,2041,1.9334071254
GLOBAL,MINGASINT,GASINT,2042,1.9459617238
GLOBAL,MINGASINT,GASINT,2043,1.975661709812
GLOBAL,MINGASINT,GASINT,2044,1.99546172544
GLOBAL,MINGASINT,GASINT,2045,2.01526171544
GLOBAL,MINGASINT,GASINT,2046,2.13619408314
GLOBAL,MINGASINT,GASINT,2047,2.25923459572
GLOBAL,MINGASINT,GASINT,2048,2.38890192828
GLOBAL,MINGASINT,GASINT,2049,2.5375255270968
GLOBAL,MINGASINT,GASINT,2050,2.6737638331599998
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2021,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2022,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2023,0.473039999016
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2024,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2025,0.473039999104
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2026,0.473039999104
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2027,0.473039999016
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2028,0.47303999978
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2029,0.47303999978
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2030,0.473039999016
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2031,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2032,0.473039999104
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2033,0.473039999016
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2034,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2035,0.473039999016
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2036,0.47303999896000004
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2037,0.473039999104
GLOBAL,PWRBIOGUYXX01,ELCGUYXX01,2038,0.473039999104
