REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,MINGASINT,GASINT,2021,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2022,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2023,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2024,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2025,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2026,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2027,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2028,1.7162945
GLOBAL,S1D1,MINGASINT,GASINT,2029,1.7162945
GLOBAL,S1D1,MINGASINT,GASINT,2030,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2031,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2032,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2033,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2034,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2035,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2036,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2037,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2038,2.0904014
GLOBAL,S1D1,MINGASINT,GASINT,2039,2.6623745
GLOBAL,S1D1,MINGASINT,GASINT,2040,2.7145161
GLOBAL,S1D1,MINGASINT,GASINT,2041,2.7322581
GLOBAL,S1D1,MINGASINT,GASINT,2042,2.75
GLOBAL,S1D1,MINGASINT,GASINT,2043,2.7766129
GLOBAL,S1D1,MINGASINT,GASINT,2044,2.7943548
GLOBAL,S1D1,MINGASINT,GASINT,2045,2.8120968
GLOBAL,S1D1,MINGASINT,GASINT,2046,2.9185484
GLOBAL,S1D1,MINGASINT,GASINT,2047,3.016129
GLOBAL,S1D1,MINGASINT,GASINT,2048,3.1137097
GLOBAL,S1D1,MINGASINT,GASINT,2049,3.2201613
GLOBAL,S1D1,MINGASINT,GASINT,2050,3.3177419
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2021,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2022,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2023,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2024,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2025,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2026,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2027,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2028,0.94608
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2029,0.94608
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2030,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2031,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2032,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2033,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2034,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2035,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2036,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2037,0.5719731
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2038,0.5719731
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2021,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2022,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2023,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2024,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2025,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2026,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2027,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2028,1.7162945
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2029,1.7162945
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2030,2.0904014
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2031,2.0904014
