REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2021,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2022,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2023,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2024,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2025,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2026,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2027,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2028,3.4910352000000002
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2029,3.4910352000000002
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2030,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2031,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2032,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2033,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2034,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2035,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2036,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2037,2.110580739
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2038,2.110580739
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2021,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2022,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2023,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2024,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2025,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2026,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2027,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2028,3.432589
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2029,3.432589
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2030,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2031,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2032,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2033,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2034,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2035,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2036,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2037,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2038,4.1808028
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2039,5.324749
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2040,5.4290322
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2041,5.4645162
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2042,5.5
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2043,5.5532258
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2044,5.5887096
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2045,5.6241936
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2046,5.8370968
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2047,6.032258
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2048,6.2274194
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2049,6.4403226
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2050,6.6354838
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX01,2021,2.7145161
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX01,2022,2.7145161
