REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGGUYXX01,2039,15.968912
GLOBAL,PWRCCGGUYXX01,2040,0.60503764
GLOBAL,PWRCCGGUYXX01,2041,0.36120474
GLOBAL,PWRCCGGUYXX01,2042,0.37160832
GLOBAL,PWRCCGGUYXX01,2043,0.67880534
GLOBAL,PWRCCGGUYXX01,2044,0.46372986
GLOBAL,PWRCCGGUYXX01,2045,0.47438982
GLOBAL,PWRCCGGUYXX01,2046,2.5053762
GLOBAL,PWROCGGUYXX01,2027,4.0291873
GLOBAL,PWROCGGUYXX01,2040,0.14343507
GLOBAL,PWROCGGUYXX01,2041,0.065625252
GLOBAL,PWROCGGUYXX01,2042,0.067515421
GLOBAL,PWROCGGUYXX01,2043,0.043098752
GLOBAL,PWROCGGUYXX01,2044,0.029443166
GLOBAL,PWROCGGUYXX01,2045,0.030119989
GLOBAL,PWROCGGUYXX01,2046,0.41423139
GLOBAL,PWROCGGUYXX01,2047,1.7258165
GLOBAL,PWROCGGUYXX01,2048,1.7579731
GLOBAL,PWROCGGUYXX01,2049,1.9511982
GLOBAL,PWROCGGUYXX01,2050,1.8177654
GLOBAL,PWRSPVGUYXX01,2040,1.2369425
GLOBAL,PWRSPVGUYXX01,2041,0.44481567
GLOBAL,PWRSPVGUYXX01,2042,0.45762746
