REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,2.0904014
GLOBAL,MINGASINT,2022,2.0904014
GLOBAL,MINGASINT,2023,2.0904014
GLOBAL,MINGASINT,2024,2.0904014
GLOBAL,MINGASINT,2025,2.0904014
GLOBAL,MINGASINT,2026,2.0904014
GLOBAL,MINGASINT,2027,2.0904014
GLOBAL,MINGASINT,2028,2.0904014
GLOBAL,MINGASINT,2029,2.0904014
GLOBAL,MINGASINT,2030,2.0904014
GLOBAL,MINGASINT,2031,2.0904014
GLOBAL,MINGASINT,2032,2.0904014
GLOBAL,MINGASINT,2033,2.0904014
GLOBAL,MINGASINT,2034,2.0904014
GLOBAL,MINGASINT,2035,2.0904014
GLOBAL,MINGASINT,2036,2.0904014
GLOBAL,MINGASINT,2037,2.0904014
GLOBAL,MINGASINT,2038,2.0904014
GLOBAL,MINGASINT,2039,3.0364814
GLOBAL,MINGASINT,2040,3.0711532
GLOBAL,MINGASINT,2041,3.0912261
GLOBAL,MINGASINT,2042,3.111299
GLOBAL,MINGASINT,2043,3.1470132
GLOBAL,MINGASINT,2044,3.1708228
GLOBAL,MINGASINT,2045,3.1946323
GLOBAL,MINGASINT,2046,3.354413
GLOBAL,MINGASINT,2047,3.5975916
GLOBAL,MINGASINT,2048,3.8407702
GLOBAL,MINGASINT,2049,4.1060559
GLOBAL,MINGASINT,2050,4.3492345
GLOBAL,PWRBIOGUYXX01,2021,0.03
GLOBAL,PWRBIOGUYXX01,2022,0.03
GLOBAL,PWRBIOGUYXX01,2023,0.03
GLOBAL,PWRBIOGUYXX01,2024,0.03
GLOBAL,PWRBIOGUYXX01,2025,0.03
GLOBAL,PWRBIOGUYXX01,2026,0.03
GLOBAL,PWRBIOGUYXX01,2027,0.03
GLOBAL,PWRBIOGUYXX01,2028,0.03
GLOBAL,PWRBIOGUYXX01,2029,0.03
GLOBAL,PWRBIOGUYXX01,2030,0.03
GLOBAL,PWRBIOGUYXX01,2031,0.03
GLOBAL,PWRBIOGUYXX01,2032,0.03
GLOBAL,PWRBIOGUYXX01,2033,0.03
GLOBAL,PWRBIOGUYXX01,2034,0.03
GLOBAL,PWRBIOGUYXX01,2035,0.03
GLOBAL,PWRBIOGUYXX01,2036,0.03
GLOBAL,PWRBIOGUYXX01,2037,0.03
GLOBAL,PWRBIOGUYXX01,2038,0.03
GLOBAL,PWRCCGGUYXX01,2021,0.066286194
GLOBAL,PWRCCGGUYXX01,2022,0.066286194
GLOBAL,PWRCCGGUYXX01,2023,0.066286194
GLOBAL,PWRCCGGUYXX01,2024,0.066286194
GLOBAL,PWRCCGGUYXX01,2025,0.066286194
GLOBAL,PWRCCGGUYXX01,2026,0.066286194
GLOBAL,PWRCCGGUYXX01,2027,0.066286194
GLOBAL,PWRCCGGUYXX01,2028,0.066286194
GLOBAL,PWRCCGGUYXX01,2029,0.066286194
GLOBAL,PWRCCGGUYXX01,2030,0.066286194
GLOBAL,PWRCCGGUYXX01,2031,0.066286194
GLOBAL,PWRCCGGUYXX01,2032,0.066286194
GLOBAL,PWRCCGGUYXX01,2033,0.066286194
GLOBAL,PWRCCGGUYXX01,2034,0.066286194
GLOBAL,PWRCCGGUYXX01,2035,0.066286194
GLOBAL,PWRCCGGUYXX01,2036,0.066286194
GLOBAL,PWRCCGGUYXX01,2037,0.066286194
GLOBAL,PWRCCGGUYXX01,2038,0.066286194
GLOBAL,PWRCCGGUYXX01,2039,0.096286194
GLOBAL,PWRCCGGUYXX01,2040,0.097385628
GLOBAL,PWRCCGGUYXX01,2041,0.098022135
GLOBAL,PWRCCGGUYXX01,2042,0.098658643
GLOBAL,PWRCCGGUYXX01,2043,0.099791135
GLOBAL,PWRCCGGUYXX01,2044,0.10054613
GLOBAL,PWRCCGGUYXX01,2045,0.10130113
GLOBAL,PWRCCGGUYXX01,2046,0.10520491
GLOBAL,PWRCCGGUYXX01,2047,0.10520491
GLOBAL,PWRCCGGUYXX01,2048,0.10520491
GLOBAL,PWRCCGGUYXX01,2049,0.10520491
GLOBAL,PWRCCGGUYXX01,2050,0.10520491
GLOBAL,PWROCGGUYXX01,2027,0.030507409
GLOBAL,PWROCGGUYXX01,2028,0.030507409
GLOBAL,PWROCGGUYXX01,2029,0.030507409
GLOBAL,PWROCGGUYXX01,2030,0.030507409
GLOBAL,PWROCGGUYXX01,2031,0.030507409
GLOBAL,PWROCGGUYXX01,2032,0.030507409
GLOBAL,PWROCGGUYXX01,2033,0.030507409
GLOBAL,PWROCGGUYXX01,2034,0.030507409
GLOBAL,PWROCGGUYXX01,2035,0.030507409
GLOBAL,PWROCGGUYXX01,2036,0.030507409
GLOBAL,PWROCGGUYXX01,2037,0.030507409
GLOBAL,PWROCGGUYXX01,2038,0.030507409
GLOBAL,PWROCGGUYXX01,2039,0.030507409
GLOBAL,PWROCGGUYXX01,2040,0.03096353
GLOBAL,PWROCGGUYXX01,2041,0.031165906
GLOBAL,PWROCGGUYXX01,2042,0.031368282
GLOBAL,PWROCGGUYXX01,2043,0.031494115
GLOBAL,PWROCGGUYXX01,2044,0.031578003
GLOBAL,PWROCGGUYXX01,2045,0.031661891
GLOBAL,PWROCGGUYXX01,2046,0.03279141
GLOBAL,PWROCGGUYXX01,2047,0.037405269
GLOBAL,PWROCGGUYXX01,2048,0.042019128
GLOBAL,PWROCGGUYXX01,2049,0.047052428
GLOBAL,PWROCGGUYXX01,2050,0.051666287
GLOBAL,PWROILGUYXX01,2021,0.3797
GLOBAL,PWROILGUYXX01,2022,0.3797
GLOBAL,PWROILGUYXX01,2023,0.3797
GLOBAL,PWROILGUYXX01,2024,0.3797
GLOBAL,PWROILGUYXX01,2025,0.3797
GLOBAL,PWROILGUYXX01,2026,0.3797
GLOBAL,PWRSPVGUYXX01,2021,0.22263891
GLOBAL,PWRSPVGUYXX01,2022,0.22263891
GLOBAL,PWRSPVGUYXX01,2023,0.22263891
GLOBAL,PWRSPVGUYXX01,2024,0.22263891
GLOBAL,PWRSPVGUYXX01,2025,0.22263891
GLOBAL,PWRSPVGUYXX01,2026,0.22263891
GLOBAL,PWRSPVGUYXX01,2027,0.22263891
GLOBAL,PWRSPVGUYXX01,2028,0.22263891
GLOBAL,PWRSPVGUYXX01,2029,0.22263891
GLOBAL,PWRSPVGUYXX01,2030,0.22263891
GLOBAL,PWRSPVGUYXX01,2031,0.22263891
GLOBAL,PWRSPVGUYXX01,2032,0.22263891
GLOBAL,PWRSPVGUYXX01,2033,0.22263891
GLOBAL,PWRSPVGUYXX01,2034,0.22263891
GLOBAL,PWRSPVGUYXX01,2035,0.22263891
GLOBAL,PWRSPVGUYXX01,2036,0.22263891
GLOBAL,PWRSPVGUYXX01,2037,0.22263891
GLOBAL,PWRSPVGUYXX01,2038,0.22263891
GLOBAL,PWRSPVGUYXX01,2039,0.22263891
GLOBAL,PWRSPVGUYXX01,2040,0.22689129
GLOBAL,PWRSPVGUYXX01,2041,0.22837424
GLOBAL,PWRSPVGUYXX01,2042,0.22985719
GLOBAL,PWRSPVGUYXX01,2043,0.22985719
GLOBAL,PWRSPVGUYXX01,2044,0.22985719
GLOBAL,PWRSPVGUYXX01,2045,0.22985719
GLOBAL,PWRSPVGUYXX01,2046,0.22985719
GLOBAL,PWRSPVGUYXX01,2047,0.22985719
GLOBAL,PWRSPVGUYXX01,2048,0.22985719
GLOBAL,PWRSPVGUYXX01,2049,0.22985719
GLOBAL,PWRSPVGUYXX01,2050,0.22985719
GLOBAL,PWRTRNGUYXX,2021,0.11551424
GLOBAL,PWRTRNGUYXX,2022,0.11551424
GLOBAL,PWRTRNGUYXX,2023,0.11551424
GLOBAL,PWRTRNGUYXX,2024,0.11551424
GLOBAL,PWRTRNGUYXX,2025,0.11551424
GLOBAL,PWRTRNGUYXX,2026,0.11551424
GLOBAL,PWRTRNGUYXX,2027,0.11551424
GLOBAL,PWRTRNGUYXX,2028,0.11551424
GLOBAL,PWRTRNGUYXX,2029,0.11551424
GLOBAL,PWRTRNGUYXX,2030,0.11551424
GLOBAL,PWRTRNGUYXX,2031,0.11551424
GLOBAL,PWRTRNGUYXX,2032,0.11551424
GLOBAL,PWRTRNGUYXX,2033,0.11551424
GLOBAL,PWRTRNGUYXX,2034,0.11551424
GLOBAL,PWRTRNGUYXX,2035,0.11551424
GLOBAL,PWRTRNGUYXX,2036,0.11551424
GLOBAL,PWRTRNGUYXX,2037,0.11551424
GLOBAL,PWRTRNGUYXX,2038,0.11551424
GLOBAL,PWRTRNGUYXX,2039,0.11551424
