REGION,YEAR,VALUE
GLOBAL,2021,192.63579
GLOBAL,2022,32.689616
GLOBAL,2023,32.689616
GLOBAL,2024,32.689616
GLOBAL,2025,32.689616
GLOBAL,2026,32.689616
GLOBAL,2027,37.529028
GLOBAL,2028,25.326064
GLOBAL,2029,25.326064
GLOBAL,2030,25.326064
GLOBAL,2031,25.278736
GLOBAL,2032,25.231409
GLOBAL,2033,25.184081
GLOBAL,2034,25.136753
GLOBAL,2035,25.089425
GLOBAL,2036,25.042097
GLOBAL,2037,24.99477
GLOBAL,2038,24.947442
GLOBAL,2039,50.328847
GLOBAL,2040,31.922804
GLOBAL,2041,30.664705
GLOBAL,2042,30.856845
GLOBAL,2043,31.027792
GLOBAL,2044,31.015478
GLOBAL,2045,31.284189
GLOBAL,2046,35.542228
GLOBAL,2047,35.836199
GLOBAL,2048,37.551436
GLOBAL,2049,39.679466
GLOBAL,2050,41.308589
