REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2021,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2022,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2023,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2024,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2025,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2026,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2027,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2028,0.43288836480000004
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2029,0.43288836480000004
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2030,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2031,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2032,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2033,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2034,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2035,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2036,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2037,0.261712011636
GLOBAL,S1D1,PWRBIOGUYXX01,BIOGUYXX,2038,0.261712011636
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2021,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2022,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2023,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2024,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2025,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2026,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2027,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2028,0.42564103600000003
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2029,0.42564103600000003
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2030,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2031,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2032,0.5184195472
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2033,0.5184195472
